ID_avtorja,vsebina,vezava,stevilo_strani,izdano,ID_knjige 
86404,"When a young English widow takes off on the grand tour and along the way marries a penniless Italian, her in-laws are not amused. That the marriage should fail and poor Lilia die tragically are only to be expected. But that Lilia should have had a baby -- and that the baby should be raised as an Italian! -- are matters requiring immediate correction by Philip Herriton, his dour sister Harriet, and their well-meaning friend Miss Abbott.",Paperback,148,2004,3677
2533,"In a poor, remote section of Southern Mexico, the paramilitary group, the Red Shirts have taken control. God has been outlawed, and the priests have been systematically hunted down and killed. Now, the last priest is on the run. Too human for heroism, too humble for martyrdom, the nameless little worldly “whiskey priest” is nevertheless impelled toward his squalid Calvary as much by his own compassion for humanity as by the efforts of his pursuers.   In his introduction, John Updike calls The Power and the Glory, “Graham Greene’s masterpiece…. The energy and grandeur of his finest novel derive from the will toward compassion, an ideal communism even more Christian than Communist.”",Paperback,222,2003,3690
2533,"In a British colony in West Africa, Henry Scobie is a pious and righteous man of modest means enlisted with securing borders. But when he’s passed over for a promotion as commissioner of police, the humiliation hits hardest for his wife, Louise. Already oppressed by the appalling climate, frustrated in a loveless marriage, and belittled by the wives of more privileged officers, Louise wants out.Feeling responsible for her unhappiness, Henry decides against his better judgment to accept a loan from a black marketeer to secure Louise’s passage. It’s just a single indiscretion, yet for Henry it precipitates a rapid fall from grace as one moral compromise after another leads him into a web of blackmail, adultery, and murder. And for a devout man like Henry, there may be nothing left but damnation.",Paperback,272,2004,3692
2533,"Graham Greene's classic exploration of love, innocence, and morality in Vietnam""I never knew a man who had better motives for all the trouble he caused,"" Graham Greene's narrator Fowler remarks of Alden Pyle, the eponymous ""Quiet American"" of what is perhaps the most controversial novel of his career. Pyle is the brash young idealist sent out by Washington on a mysterious mission to Saigon, where the French Army struggles against the Vietminh guerrillas. As young Pyle's well-intentioned policies blunder into bloodshed, Fowler, a seasoned and cynical British reporter, finds it impossible to stand safely aside as an observer. But Fowler's motives for intervening are suspect, both to the police and himself, for Pyle has stolen Fowler's beautiful Vietnamese mistress.Originally published in 1956 and twice adapted to film, The Quiet American remains a terrifiying and prescient portrait of innocence at large. This Graham Greene Centennial Edition includes a new introductory essay by Robert Stone.",Paperback,180,2004,3698
2533,"During World War II a group of men is held prisoner by the Germans, who determine that three of them must die. This is the story of how one of those men trades his wealth for his life—and lives to pay for his act in utterly unexpected ways.",Paperback,160,1998,3707
2522,"One of the most talked about fictional debuts ever, White Teeth is a funny, generous, big-hearted novel, adored by critics and readers alike. Dealing - among many other things - with friendship, love, war, three cultures and three families over three generations, one brown mouse, and the tricky way the past has of coming back and biting you on the ankle, it is a life-affirming, riotous must-read of a book.",Paperback,448,2001,3711
2565,"Introducing James Bond: charming, sophisticated, handsome, chillingly ruthless and licensed to kill. This, the first of Ian Fleming's tales of secret agent 007, finds Bond on a mission to neutralize a lethal, high-rolling Russian operative called simply ""le Chiffre"" -- by ruining him at the Baccarat table and forcing his Soviet spymasters to ""retire"" him. It seems that lady luck is taken with 007 -- le Chiffre has hit a losing streak. But some people just refuse to play by the rules, and Bond's attraction to a beautiful female agent leads him to disaster and an unexpected savior...",Paperback,181,2002,3758
2565,"Name: Bond, James. Height: 183 cm, weight: 76 kg; slim build; eyes: blue; hair: black; scar down right cheek &amp; on left shoulder; all-round athlete; expert pistol shot, boxer, knife-thrower; does not use disguises. Languages: French and German. Smokes heavily (NB: special cigarettes with three gold bands); vices: drink, but not to excess, and women.Every major foreign government organization has a file on British secret agent James Bond. Now, Russia's lethal SMERSH organization has targeted him for elimination. SMERSH has the perfect bait in the irresistible Tatiana Romanova, who lures 007 to Istanbul promising the top-secret Spektor cipher machine. But when Bond walks willingly into the trap, a game of cross and double-cross ensues, with Bond both the stakes and the prize.",Paperback,259,2002,3764
2616,"A profound and powerful novel, winner of the Booker PrizeSet in colonial India during the 1920s, Heat and Dust tells the story of Olivia, a beautiful woman suffocated by the propriety and social constraints of her position as the wife of an important English civil servant. Longing for passion and independence, Olivia is drawn into the spell of the Nawab, a minor Indian prince deeply involved in gang raids and criminal plots. She is intrigued by the Nawab's charm and aggressive courtship, and soon begins to spend most of her days in his company. But then she becomes pregnant, and unsure of the child's paternity, she is faced with a wrenching dilemma. Her reaction to the crisis humiliates her husband and outrages the British community, breeding a scandal that lives in collective memory long after her death.",Paperback,190,1999,3853
1401,"In the ten years since its publication in 1988, Stephen Hawking's classic work has become a landmark volume in scientific writing, with more than nine million copies in forty languages sold worldwide. That edition was on the cutting edge of what was then known about the origins and nature of the universe. But the intervening years have seen extraordinary advances in the technology of observing both the micro- and the macrocosmic worlds. These observations have confirmed many of Professor Hawking's theoretical predictions in the first edition of his book, including the recent discoveries of the Cosmic Background Explorer satellite (COBE), which probed back in time to within 300,000 years of the universe's beginning and revealed wrinkles in the fabric of space-time that he had projected. Eager to bring to his original text the new knowledge revealed by these observations, as well as his own recent research, Professor Hawking has prepared a new introduction to the book, written an entirely new chapter on wormholes and time travel, and updated the chapters throughout.",Paperback,212,1998,3869
2637,"Over 700,000 copies of the original hardcover and paperback editions of this stunningly popular book have been sold. Karen Armstrong's superbly readable exploration of how the three dominant monotheistic religions of the world - Judaism, Christianity, and Islam - have shaped and altered the conception of God is a tour de force. One of Britain's foremost commentators on religious affairs, Armstrong traces the history of how men and women have perceived and experienced God, from the time of Abraham to the present. From classical philosophy and medieval mysticism to the Reformation, the Enlightenment, and the modern age of skepticism, Armstrong performs the near miracle of distilling the intellectual history of monotheism into one compelling volume.",Hardcover,460,2004,3873
1455,"The quintessential novel of the Lost Generation, The Sun Also Rises is one of Ernest Hemingway's masterpieces, and a classic example of his spare but powerful writing style. A poignant look at the disillusionment and angst of the post-World War I generation, the novel introduces two of Hemingway's most unforgettable characters: Jake Barnes and Lady Brett Ashley. The story follows the flamboyant Brett and the hapless Jake as they journey from the wild nightlife of 1920s Paris to the brutal bullfighting rings of Spain with a motley group of expatriates. It is an age of moral bankruptcy, spiritual dissolution, unrealized love, and vanishing illusions. First published in 1926, The Sun Also Rises helped to establish Hemingway as one of the greatest writers of the twentieth century.",Paperback,189,1957,3876
2713,"When suburban Claudia Kincaid decides to run away, she knows she doesn’t just want to run from somewhere, she wants to run to somewhere — to a place that is comfortable, beautiful, and, preferably, elegant. She chooses the Metropolitan Museum of Art in New York City. Knowing her younger brother Jamie has money and thus can help her with a serious cash-flow problem, she invites him along.Once settled into the museum, Claudia and Jamie find themselves caught up in the mystery of an angel statue that the museum purchased at auction for a bargain price of $225. The statue is possibly an early work of the Renaissance master, Michelangelo, and therefore worth millions. Is it? Or isn’t it? Claudia is determined to find out. Her quest leads her to Mrs. Basil E. Frankweiler, the remarkable old woman who sold the statue, and to some equally remarkable discoveries about herself.",Paperback,178,2003,3980
2715,"Joe Kavalier, a young Jewish artist who has also been trained in the art of Houdini-esque escape, has just smuggled himself out of Nazi-invaded Prague and landed in New York City. His Brooklyn cousin Sammy Clay is looking for a partner to create heroes, stories, and art for the latest novelty to hit America - the comic book. Drawing on their own fears and dreams, Kavalier and Clay create the Escapist, the Monitor, and Luna Moth, inspired by the beautiful Rosa Saks, who will become linked by powerful ties to both men. With exhilarating style and grace, Michael Chabon tells an unforgettable story about American romance and possibility.",Paperback,639,2001,3985
566,"The Pilgrimage recounts the spectacular trials of Paulo Coelho and his mysterious mentor, Petrus, as they journey across Spain in search of a miraculous sword.The Pilgrimage paved the way to Paulo Coelho's international bestselling novel The Alchemist. In many ways, these two volumes are companions—to truly comprehend one, you must read the other.Step inside this captivating account of Paulo Coelho's pilgrimage along the road to Santiago. This fascinating parable explores the need to find one's own path. In the end, we discover that the extraordinary is always found in the ordinary and simple ways of everyday people. Part adventure story, part guide to self-discovery, this compelling tale delivers the perfect combination of enchantment and insight.",Paperback,226,1997,4004
819789,"Nine Stories (1953) is a collection of short stories by American fiction writer J. D. Salinger published in April 1953. It includes two of his most famous short stories, ""A Perfect Day for Bananafish"" and ""For Esmé – with Love and Squalor"". (Nine Stories is the U.S. title; the book is published in many other countries as For Esmé - with Love and Squalor, and Other Stories.)The stories are:""A Perfect Day for Bananafish""""Uncle Wiggily in Connecticut""""Just Before the War with the Eskimos""""The Laughing Man""""Down at the Dinghy""""For Esmé – with Love and Squalor""""Pretty Mouth and Green My Eyes""""De Daumier-Smith's Blue Period""""Teddy""",Paperback,198,2001,4009
2749,"Turow's acclaimed second novel, which topped international bestseller lists, is now available in trade paperback. Sandy Stern, the brilliant defense attorney from Presumed Innocent, faces an event so emotionally shattering that no part of his life is left untouched. It reveals a family caught in a maelstrom of hidden crimes, shocking secrets, and warring passions.",Paperback,608,2000,4035
2782,"Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Based on his own experience and the stories of his patients, Frankl argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose. At the heart of his theory, known as logotherapy, is a conviction that the primary human drive is not pleasure but the pursuit of what we find meaningful. Man's Search for Meaning has become one of the most influential books in America; it continues to inspire us all to find significance in the very act of living.",Paperback,165,2006,4069
2849,"David Sedaris's beloved holiday collection is new again with six more pieces, including a never before published story. Along with such favorites as the diaries of a Macy's elf and the annals of two very competitive families, are Sedaris's tales of tardy trick-or-treaters (Us and Them); the difficulties of explaining the Easter Bunny to the French (Jesus Shaves); what to do when you've been locked out in a snowstorm (Let It Snow); the puzzling Christmas traditions of other nations (Six to Eight Black Men); what Halloween at the medical examiner's looks like (The Monster Mash); and a barnyard secret Santa scheme gone awry (Cow and Turkey).",Paperback,176,1998,4136
2849,"David Sedaris' move to Paris from New York inspired these hilarious pieces, including the title essay, about his attempts to learn French from a sadistic teacher who declares that every day spent with you is like having a caesarean section. His family is another inspiration. You Can't Kill the Rooster is a portrait of his brother, who talks incessant hip-hop slang to his bewildered father. And no one hones a finer fury in response to such modern annoyances as restaurant meals presented in ludicrous towers of food and cashiers with six-inch fingernails.",Paperback,272,2001,4137
2849,"Welcome to the hilarious, strange, elegiac, outrageous world of David Sedaris. In Naked, Sedaris turns the mania for memoir on its proverbial ear, mining the exceedingly rich terrain of his life, his family, and his unique worldview—a sensibility at once take-no-prisoners sharp and deeply charitable. A tart-tongued mother does dead-on imitations of her young son's nervous tics, to the great amusement of his teachers; a stint of Kerouackian wandering is undertaken (of course!) with a quadriplegic companion; a family gathers for a wedding in the face of imminent death. Through it all is Sedaris's unmistakable voice, without doubt one of the freshest in American writing.",Paperback,304,1998,4138
2849,"In David Sedaris’s world, no one is safe and no cow is sacred. A manic cross between Mark Leyner, Fran Lebowitz, and the National Enquirer, Sedaris’s collection of essays is a rollicking tour through the national Zeitgeist: a do-it-yourself suburban dad saves money by performing home surgery; a man who is loved too much flees the heavyweight champion of the world; a teenage suicide tries to incite a lynch mob at her funeral; a bitter Santa abuses the elves.David Sedaris made his debut on NPR’s Morning Edition with “SantaLand Diaries”, recounting his strange-but-true experiences as an elf at Macy’s, and soon became one of the show’s most popular commentators. With a perfect eye and a voice infused with as much empathy as wit, Sedaris writes stories and essays that target the soulful ridiculousness of our behavior. Barrel Fever is like a blind date with modern life, and anything can happen.",Paperback,196,1995,4143
2929,"'How cool was Will Freeman?'Too cool! At thirty-six, he's as hip as a teenager. He's single, child-free, goes to the right clubs and knows which trainers to wear. He's also found a great way to score with women: attend single parents' groups full of available (and grateful) mothers, all hoping to meet a Nice Guy.Which is how Will meets Marcus, the oldest twelve-year-old on the planet. Marcus is a bit strange: he listens to Joni Mitchell and Mozart, looks after his mum and has never owned a pair of trainers. But Marcus latches on to Will - and won't let go. Can Will teach Marcus how to grow up cool? And can Marcus help Will just to grow up?",Mass Market Paperback,307,2000,4271
2987,"There is an alternate cover edition for this ISBN13 here.Wake up, CaitlinEver since she started going out with Rogerson Biscoe, Caitlin seems to have fallen into a semiconscious dreamland where nothing is quite real. Rogerson is different from anyone Caitlin has ever known. He's magnetic. He's compelling. He's dangerous. Being with him makes Caitlin forget about everything else--her missing sister, her withdrawn mother, her lackluster life. But what happens when being with Rogerson becomes a larger problem than being without him?",Paperback,250,2004,4325
2996,"Written on the front lines in Vietnam, Dispatches became an immediate classic of war reportage when it was published in 1977.From its terrifying opening pages to its final eloquent words, Dispatches makes us see, in unforgettable and unflinching detail, the chaos and fervor of the war and the surreal insanity of life in that singular combat zone. Michael Herr’s unsparing, unorthodox retellings of the day-to-day events in Vietnam take on the force of poetry, rendering clarity from one of the most incomprehensible and nightmarish events of our time.Dispatches is among the most blistering and compassionate accounts of war in our literature.",Paperback,260,1991,4339
1630,"Fahrenheit 451 ofrece la historia de un sombrío y horroroso futuro. Montag, el protagonista, pertenece a una extraña brigada de bomberos cuya misión, paradójicamente, no es la de sofocar incendios sino la de provocarlos, para quemar libros. Porque en el país de Montag está terminantemente prohibido leer. Porque leer obliga a pensar, y en el país de Montag esta prohibido pensar. Porque leer impide ser ingenuamente feliz, y en el país de Montag hay que ser feliz a la fuerza...",Mass Market Paperback,175,2004,4381
585,"The Pulitzer Prize-winning epic of the Great Depression, a book that galvanized—and sometimes outraged—millions of readers.First published in 1939, Steinbeck’s Pulitzer Prize-winning epic of the Great Depression chronicles the Dust Bowl migration of the 1930s and tells the story of one Oklahoma farm family, the Joads—driven from their homestead and forced to travel west to the promised land of California. Out of their trials and their repeated collisions against the hard realities of an America divided into Haves and Have-Nots evolves a drama that is intensely human yet majestic in its scale and moral vision, elemental yet plainspoken, tragic but ultimately stirring in its human dignity. A portrait of the conflict between the powerful and the powerless, of one man’s fierce reaction to injustice, and of one woman’s stoical strength, the novel captures the horrors of the Great Depression and probes into the very nature of equality and justice in America. At once a naturalistic epic, captivity narrative, road novel, and transcendental gospel, Steinbeck’s powerful landmark novel is perhaps the most American of American Classics.",Paperback,455,2002,4395
585,"In his journal, Nobel Prize winner John Steinbeck called East of Eden “the first book,” and indeed it has the primordial power and simplicity of myth. Set in the rich farmland of California’s Salinas Valley, this sprawling and often brutal novel follows the intertwined destinies of two families—the Trasks and the Hamiltons—whose generations helplessly reenact the fall of Adam and Eve and the poisonous rivalry of Cain and Abel.Adam Trask came to California from the East to farm and raise his family on the new rich land. But the birth of his twins, Cal and Aaron, brings his wife to the brink of madness, and Adam is left alone to raise his boys to manhood. One boy thrives nurtured by the love of all those around him; the other grows up in loneliness enveloped by a mysterious darkness.First published in 1952, East of Eden is the work in which Steinbeck created his most mesmerizing characters and explored his most enduring themes: the mystery of identity, the enecplicability of love, and the murderous consequences of love's absence. A masterpiece of Steinbeck's later years, East of Eden is a powerful and vastly ambitious novel that is at once a family saga and a modern retelling of the Book of Genesis.--jacket flap",Paperback,601,2002,4406
3075,"Eleven-year-old Owen Meany, playing in a Little League baseball game in Gravesend, New Hampshire, hits a foul ball and kills his best friend's mother. Owen doesn't believe in accidents; he believes he is God's instrument. What happens to Owen after that 1953 foul is both extraordinary and terrifying. At moments a comic, self-deluded victim, but in the end the principal, tragic actor in a divine plan, Owen Meany is the most heartbreaking hero John Irving has yet created.",Paperback,637,1990,4473
1455,"THE ONLY COMPLETE COLLECTION BY THE NOBEL PRIZE-WINNING AUTHOR  In this definitive collection of Ernest Hemingway's short stories, readers will delight in the author's most beloved classics such as ""The Snows of Kilimanjaro,"" ""Hills Like White Elephants,"" and ""A Clean, Well-Lighted Place,"" and will discover seven new tales published for the first time in this collection. For Hemingway fans The Complete Short Stories is an invaluable treasury.",Paperback,650,1998,4625
1455,"Hemingway's memories of his life as an unknown writer living in Paris in the twenties are deeply personal, warmly affectionate and full of wit. Looking back not only at his own much younger self, but also at the other writers who shared Paris with him - James Joyce, Wyndham Lewis, Scott and Zelda Fitzgerald - he recalls the time when, poor, happy and writing in cafes, he discovered his vocation. Written during the last years of Hemingway's life, his memoir is a lively and powerful reflection of his genius that scintillates with the romance of the city.",Paperback,192,2012,4631
1455,"First published in 1970, nine years after Ernest Hemingway's death, Islands in the Stream is the story of an artist and adventurer — a man much like Hemingway himself. Rich with the uncanny sense of life and action characteristic of his writing — from his earliest stories (In Our Time) to his last novella (The Old Man and the Sea) — this compelling novel contains both the warmth of recollection that inspired A Moveable Feast and a rare glimpse of Hemingway's rich and relaxed sense of humor, which enlivens scene after scene.  Beginning in the 1930s, Islands in the Stream follows the fortunes of Thomas Hudson from his experiences as a painter on the Gulf Stream island of Bimini, where his loneliness is broken by the vacation visit of his three young sons, to his antisubmarine activities off the coast of Cuba during World War II. The greater part of the story takes place in a Havana bar, where a wildly diverse cast of characters — including an aging prostitute who stands out as one of Hemingway's most vivid creations — engages in incomparably rich dialogue. A brilliant portrait of the inner life of a complex and endlessly intriguing man, Islands in the Stream is Hemingway at his mature best.",Hardcover,448,2003,4633
1455,"The ideal introduction to the genius of Ernest Hemingway, The Snows of Kilimanjaro and Other Stories contains ten of Hemingway's most acclaimed and popular works of short fiction. Selected from Winner Take Nothing, Men Without Women, and The Fifth Column and the First Forty-Nine Stories, this collection includes ""The Killers,"" the first of Hemingway's mature stories to be accepted by an American periodical; the autobiographical ""Fathers and Sons,"" which alludes, for the first time in Hemingway's career, to his father's suicide; ""The Short Happy Life of Francis Macomber,"" a ""brilliant fusion of personal observation, hearsay and invention,"" wrote Hemingway's biographer, Carlos Baker; and the title story itself, of which Hemingway said: ""I put all the true stuff in,"" with enough material, he boasted, to fill four novels. Beautiful in their simplicity, startling in their originality, and unsurpassed in their craftsmanship, the stories in this volume highlight one of America's master storytellers at the top of his form.",Hardcover,144,1999,4645
1455,"Still considered one of the best books ever written about bullfighting, ""Death in the Afternoon"" is an impassioned look at the sport by one of its true aficionados. It reflects Hemingway's conviction that bullfighting was more than mere sport and reveals a rich source of inspiration for his art. The unrivaled drama of bullfighting, with its rigorous combination of athleticism and artistry, and its requisite display of grace under pressure, ignited Hemingway's imagination. Here he describes and explains the technical aspects of this dangerous ritual and ""the emotional and spiritual intensity and pure classic beauty that can be produced by a man, an animal, and a piece of scarlet serge draped on a stick."" Seen through his eyes, bullfighting becomes a richly choreographed ballet, with performers who range from awkward amateurs to masters of great elegance and cunning.  A fascinating look at the history and grandeur of bullfighting, ""Death in the Afternoon"" is also a deeper contemplation of the nature of cowardice and bravery, sport and tragedy, and is enlivened throughout by Hemingway's sharp commentary on life and literature.",Paperback,496,2000,4648
1455,"THIS COLLECTION OF SHORT STORIES AND VIGNETTES MARKED ERNEST HEMINGWAY'S AMERICAN DEBUT AND MADE HIM FAMOUS When In Our Time was published, it was praised by Ford Madox Ford, John Dos Passos, and F. Scott Fitzgerald for its simple and precise use of language to convey a wide range of complex emotions, and it earned Hemingway a place beside Sherwood Anderson and Gertrude Stein among the most promising American writers of that period. In Our Time contains several early Hemingway classics, including the famous Nick Adams stories ""Indian Camp,"" ""The Doctor and the Doctor's Wife,"" ""The Three Day Blow,"" and ""The Battler,"" and introduces readers to the hallmarks of the Hemingway style: a lean, tough prose -- enlivened by an ear for the colloquial and an eye for the realistic that suggests, through the simplest of statements, a sense of moral value and a clarity of heart. Now recognized as one of the most original short story collections in twentieth-century literature, In Our Time provides a key to Hemingway's later works.",Paperback,156,2003,4652
3075,"Richly comic as well as deeply disturbing, this is a multilayered love story of astonishing emotional force. Both ribald and erotic, it is also a brilliant novel about the passage of time and the relentlessness of grief.",Paperback,576,2004,4659
3190,"Alternate Cover Edition ISBN: 0743273567 (ISBN13: 9780743273565)THE GREAT GATSBY, F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his new love for the bearutiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted ""gin was the national drinnk and sex the national obsession,"" it is an exquisitely crafted tale of America in the 1920s.The Great Gatsby is one of the great classics of twentieth-century literature.(back cover)",Paperback,180,2004,4671
2749,"Mack Malloy is a partner in one of Kindle County's top law firms. An ex-cop who joined the firm on a wave of enthusiasm and optimism, he now feels himself to be on the way down, and possibly out. Bert Kamin, gifted, erratic and combative, is one of the firm's star litigators and he has disappeared.",Hardcover,,2001,4684
3075,"Raised from birth in the orphanage at St. Cloud's, Maine, Homer Wells has become the protege of Dr. Wilbur Larch, its physician and director. There Dr. Larch cares for the troubled mothers who seek his help, either by delivering and taking in their unwanted babies or by performing illegal abortions. Meticulously trained by Dr. Larch, Homer assists in the former, but draws the line at the latter. Then a young man brings his beautiful fiancee to Dr. Larch for an abortion, and everything about the couple beckons Homer to the wide world outside the orphanage ...",Hardcover,973,2000,4687
2934,"In the 11th century, Rob Cole left poor, disease-ridden London to make his way across the land, hustling, juggling, peddling cures to the sick—and discovering the mystical ways of healing. It was on his travels that he found his own very real gift for healing—a gift that urged him on to become a doctor. So all consuming was his dream, that he made the perilous, unheard-of journey to Persia, to its Arab universities where he would undertake a transformation that would shape his destiny forever.",Paperback,720,2001,4692
3190,"First published in 1922, The Beautiful and the Damned followed Fitzgerald's impeccable debut, This Side of Paradise, thus securing his place in the tradition of great American novelists. Embellished with the author's lyrical prose, here is the story of Harvard-educated, aspiring aesthete Anthony Patch and his beautiful wife, Gloria. As they await the inheritance of his grandfather's fortune, their reckless marriage sways under the influence of alcohol and avarice. A devastating look at the nouveau riche and New York nightlife, as well as the ruinous effects of wild ambition, The Beautiful and the Damned achieved stature as one of Fitzgerald's most accomplished novels. Its distinction as a classic endures to this day. Pocket Book's Enriched Classics present the great works of world literature enhanced for the contemporary reader. Special features include critical perspectives, suggestions for further read, and a unique visual essay composed of period photographs that help bring every word to life.",Paperback,422,2002,4708
585,"Ethan Allen Hawley, the protagonist of Steinbeck’s last novel, works as a clerk in a grocery store that his family once owned. With Ethan no longer a member of Long Island’s aristocratic class, his wife is restless, and his teenage children are hungry for the tantalizing material comforts he cannot provide. Then one day, in a moment of moral crisis, Ethan decides to take a holiday from his own scrupulous standards.Set in Steinbeck’s contemporary 1960 America, the novel explores the tenuous line between private and public honesty that today ranks it alongside his most acclaimed works of penetrating insight into the American condition. This edition features an introduction and notes by Steinbeck scholar Susan Shillinglaw.",Paperback,336,2008,4796
585,"Cannery Row is a book without much of a plot. Rather, it is an attempt to capture the feeling and people of a place, the cannery district of Monterey, California, which is populated by a mix of those down on their luck and those who choose for other reasons not to live ""up the hill"" in the more respectable area of town. The flow of the main plot is frequently interrupted by short vignettes that introduce us to various denizens of the Row, most of whom are not directly connected with the central story. These vignettes are often characterized by direct or indirect reference to extreme violence: suicides, corpses, and the cruelty of the natural world.The ""story"" of Cannery Row follows the adventures of Mack and the boys, a group of unemployed yet resourceful men who inhabit a converted fish-meal shack on the edge of a vacant lot down on the Row.Sweet Thursday is the sequel to Cannery Row.",Paperback,181,2002,4799
3277,"Anyone alive in the eighteenth century would have known that ""the longitude problem"" was the thorniest scientific dilemma of the day—and had been for centuries. Lacking the ability to measure their longitude, sailors throughout the great ages of exploration had been literally lost at sea as soon as they lost sight of land. Thousands of lives, and the increasing fortunes of nations, hung on a resolution.The scientific establishment of Europe—from Galileo to Sir Issac Newton—had mapped the heavens in both hemispheres in its certain pursuit of a celestial answer. In stark contrast, one man, John Harrison, dared to imagine a mechanical solution—a clock that would keep precise time at sea, something no clock had ever been able to do on land. Longitude is a dramatic human story of an epic scientific quest and Harrison's forty-year obsession with building his perfect timekeeper, known today as the chronometer. Full of heroism and chicanery, it is also a fascinating brief history of astronomy, navigation, and clock-making, and opens a new window on our world.On its 10th anniversary, a gift edition of this classic book, with a forward by one of history's greatest explorers, and eight pages of color illustrations.",Hardcover,192,2005,4806
3299,"The novel that set the stage for his modern classic, The Satanic Verses, Shame is Salman Rushdie’s phantasmagoric epic of an unnamed country that is “not quite Pakistan.” In this dazzling tale of an ongoing duel between the families of two men–one a celebrated wager of war, the other a debauched lover of pleasure–Rushdie brilliantly portrays a world caught between honor and humiliation–“shamelessness, shame: the roots of violence.” Shame is an astonishing story that grows more timely by the day.",Paperback,287,1995,4831
3299,"Alternate cover for this ISBN can be found hereDiscover Haroun and the Sea of Stories, Salman Rushdie’s classic fantasy novel  Set in an exotic Eastern landscape peopled by magicians and fantastic talking animals, Salman Rushdie's classic children's novel Haroun and the Sea of Stories inhabits the same imaginative space as The Lord of the Rings, The Alchemist, and The Wizard of Oz. In this captivating work of fantasy from the author of Midnight’s Children and The Enchantress of Florence, Haroun sets out on an adventure to restore the poisoned source of the sea of stories. On the way, he encounters many foes, all intent on draining the sea of all its storytelling powers.  ",Hardcover,224,1999,4835
3317,"You can go after the job you want...and get it! You can take the job you have...and improve it! You can take any situation you're in...and make it work for you!Since its release in 1936, How to Win Friends and Influence People has sold more than 15 million copies. Dale Carnegie's first book is a timeless bestseller, packed with rock-solid advice that has carried thousands of now famous people up the ladder of success in their business and personal lives.As relevant as ever before, Dale Carnegie's principles endure, and will help you achieve your maximum potential in the complex and competitive modern age.Learn the six ways to make people like you, the twelve ways to win people to your way of thinking, and the nine ways to change people without arousing resentment.",Paperback,288,1998,4865
3317,"Learn how to break the worry habit -- Now and forever!With Dale Carnegie's timeless advice in hand, more than six million people have learned how to eliminate debilitating fear and worry from their lives and to embrace a worry-free future. In this classic work, How to Stop Worrying and Start Living, Carnegie offers a set of practical formulas that you can put to work today. It is a book packed with lessons that will last a lifetime and make that lifetime happier!DISCOVER HOW TO:Eliminate fifty percent of business worries immediately Reduce financial worries Avoid fatigue -- and keep looking young Add one hour a day to your waking life Find yourself and be yourself -- remember there is no one else on earth like you!Fascinating to read and easy to apply, How to Stop Worrying and Start Living deals with fundamental emotions and life-changing ideas. There's no need to live with worry and anxiety that keep you from enjoying a full, active life!",Paperback,358,2004,4866
3340,"Written by Spencer Johnson, coauthor of The One Minute Manager, this enlightening and amusing story illustrates the vital importance of being able to deal with unexpected change. Who Moved My Cheese? is often distributed by managers to employees as a motivational tool, but the lessons it teaches can benefit literally anyone, young or old, rich or poor, looking for less stress and more success in every aspect of work and life.",Hardcover,96,2002,4894
3347,"The sequel to Frank McCourt's memoir of his Irish Catholic boyhood, Angela's Ashes, picks up the story in October 1949, upon his arrival in America. Though he was born in New York, the family had returned to Ireland due to poor prospects in the United States. Now back on American soil, this awkward 19-year-old, with his ""pimply face, sore eyes, and bad teeth,"" has little in common with the healthy, self-assured college students he sees on the subway and dreams of joining in the classroom. Initially, his American experience is as harrowing as his impoverished youth in Ireland, including two of the grimmest Christmases ever described in literature. McCourt views the U.S. through the same sharp eye and with the same dark humor that distinguished his first memoir: race prejudice, casual cruelty, and dead-end jobs weigh on his spirits as he searches for a way out. A glimpse of hope comes from the army, where he acquires some white-collar skills, and from New York University, which admits him without a high school diploma. But the journey toward his position teaching creative writing at Stuyvesant High School is neither quick nor easy. Fortunately, McCourt's openness to every variety of human emotion and longing remains exceptional; even the most damaged, difficult people he encounters are richly rendered individuals with whom the reader can't help but feel uncomfortable kinship. The magical prose, with its singing Irish cadences, brings grandeur and beauty to the most sorrowful events, including the final scene, set in a Limerick graveyard. --Wendy Smith",Paperback,495,1999,4912
3362,"THE all-time classic picture book, from generation to generation, sold somewhere in the world every 30 seconds! Have you shared it with a child or grandchild in your life?Including a special feature, dye cuts, this beautiful board book edition, perfect for teaching the days of the week, offers readers an interactive experience.",Board book,26,1994,4948
