ID_avtorja,avtor,kraj_rojstva,leto_rojstva
10264,Henry David Thoreau,"Concord, Massachusetts, The United States",1817
10275,Graham Masterton,"Edinburgh , The United Kingdom",1946
10289,Dennis Lehane,"Dorchester, Boston, Massachusetts, The United States",
10318,Jo Beverley,"Lancashire, England, The United Kingdom",1947
10330,Daniel Quinn,"Omaha, Nebraska, The United States",1935
10331,Ishmael Reed,"Chattanooga, Tennessee",1938
10356,Woody Allen,"The Bronx, New York , The United States",1935
10366,Clive Barker,"Liverpool, The United Kingdom",
10420,Aleksandr Solzhenitsyn,"Kislovodsk, Stavropol Krai, Russian Federation",1918
10427,James Baldwin,"Harlem, New York, The United States",1924
10442,Robert Cormier,"Leominster, Massachusetts, The United States",1925
10538,Carl Sagan,"New York, The United States",1934
10542,Jacob Bronowski,"Łódź, Poland",1908
10547,E.E. Cummings,"Cambridge, Massachusetts, The United States",1894
10652,Marguerite Henry,"Milwaukee, Wisconsin, The United States",1902
10657,Enid Blyton,"East Dulwich, South London, The United Kingdom",1897
10665,Gertrude Chandler Warner,"Putnam, Connecticut, The United States",1890
10673,Eleanor H. Porter,"Littleton, New Hampshire, The United States",1868
10710,W.E.B. Du Bois,"Great Barrington, Massachusetts, The United States",1868
10746,Jim Butcher,"Independence, Missouri, The United States",
10747,David Markson,"Albany, New York, The United States",1927
10838,Ismail Kadare,"Gjirokastër, Albania",1936
10885,Edgar Rice Burroughs,"Chicago, Illinois, The United States",1875
10890,Ruth Rendell,"London, The United Kingdom",1930
10991,Stanisław Lem,,
10992,Alfred Bester,"New York, The United States",1913
11047,Masashi Kishimoto,"Nagi, Okayama, Japan",1974
11072,Daniel Keyes,"Brooklyn, New York, The United States",1927
11081,Margaret Mitchell,"Atlanta, Georgia, The United States",1900
11121,Jerzy Kosiński,"Łódź, Poland",1933
11193,Joe Simpson,"Sheffield, The United Kingdom",1960
11237,Catherine Marshall,"Johnson City, Tennessee, The United States",1914
11315,Evelyn Waugh,"Combe Florey, Somerset, England, The United Kingdom",1903
11337,Martin Amis,"Oxford, Oxfordshire, England, The United Kingdom",1949
11530,Thomas Flanagan,"Greenwich, Connecticut, The United States",1923
11562,Derek Walcott,"Castries, Saint Lucia",1930
11586,David Gemmell,"London, England, The United Kingdom",1948
11593,Beatrix Potter,"Kensington, London, England, The United Kingdom",1866
11633,Sharon Creech,"South Euclid, Ohio, The United States",1945
11646,Lynda Barry,"Richland Center, WI, The United States",1956
11654,Meg Cabot,"Bloomington, Indiana, The United States",
11700,David James Duncan,"Portland, OR, The United States",1952
11728,James McBride,"Red Hook, Brooklyn, New York, The United States",
11882,Erma Bombeck,"Dayton, Ohio, The United States",1927
11889,Ellen Kushner,"Washington, DC , The United States",
12006,Walt Morey,The United States,1907
12034,Carol Shields,"Oak Park, Illinois, The United States",1935
12076,Russell Hoban,"Lansdale, Pennsylvania, The United States",1925
12080,Ralph Waldo Emerson,"Boston, Massachusetts, The United States",1803
12144,James M. McPherson,"Valley City, North Dakota, The United States",1936
12350,Sherwood Smith,The United States,
12447,Arnold Lobel,"Schenectady, New York, The United States",1933
12455,Thomas   Harris,"Jackson, Tennessee, The United States",1940
12470,Michael Connelly,"Philadelphia, Pennsylvania, The United States",
12476,Joe Haldeman,"Oklahoma City, Oklahoma, The United States",1943
12496,Michael   Newton,,1931
12521,William Goldman,"Highland Park, Illinois, The United States",1931
12534,Larry Niven,"Los Angeles, California, The United States",1938
12535,David Morrell,"Kitchener, Ontario, Canada",
12540,Robert Bloch,"Chicago, Illinois, The United States",1917
12542,Bernard Cornwell,"London, England, The United Kingdom",
12551,Alejo Carpentier,"Lausanne, Switzerland",1904
12584,E.L. Doctorow,"Bronx, New York City, New York, The United States",1931
12589,Steven Millhauser,"New York, The United States",1943
12605,Mario Puzo,"Manhattan, New York, The United States",1920
12696,Jerry Spinelli,"Norristown, PA, The United States",1941
12772,Warren Ellis,The United Kingdom,
12806,Hannah Arendt,"Linden, Germany",1906
12810,Julian Jaynes,"West Newton, Massachusetts, The United States",1920
12833,Irving Stone,"San Francisco, California, The United States",1903
12878,Watchman Nee,"Shantou, China",1903
12898,Stephen Chbosky,"Pittsburgh, PA, The United States",1970
12942,Judy Blume,"Elizabeth, New Jersey, The United States",
12980,Stephen R. Donaldson,"Cleveland, Ohio, The United States",1947
13009,Gilles Deleuze,"Paris, France",1925
13078,Kingsley Amis,"Clapham, Wandsworth, London, England, The United Kingdom",1922
13081,Hanif Kureishi,"London, The United Kingdom",1954
13084,Roland Barthes,"Cherbourg, France",1915
13093,Muriel Spark,"Edinburgh, Scotland",1918
13199,Alain de Botton,"Zurich, Switzerland",
13234,Sandra Cisneros,"Chicago, Illinois, The United States",1954
13263,Edith Hamilton,"Dresden, Germany",1867
13275,Charles Bukowski,"Andernach, Germany",1920
13360,William L. Shirer,"Chicago, Illinois, The United States",1904
13388,Shirley Jackson,"San Francisco, California, The United States",1916
13450,Gabriel García Márquez,"Aracataca, Magdalena, Colombia",1927
13453,William Blake,"Golden Square, London, England, The United Kingdom",1757
13652,David Almond,"Newcastle, England, The United Kingdom",1951
13663,Kate DiCamillo,"Philadelphia, Pennsylvania, The United States",
13677,Gail Carson Levine,"New York, New York, The United States",1947
13705,George Selden,"Hartford, Connecticut, The United States",1929
13728,Alvin Schwartz,"Princeton, New Jersey, The United States",1927
13746,Thomas H. Cook,"Fort Payne, Alabama",1947
13778,Bill Watterson,"Washington, D.C., The United States",1958
13944,August Wilson,"Pittsburgh, PA, The United States",1945
13974,Mark Z. Danielewski,"New York, The United States",
14032,Connie Willis,The United States,1945
14033,Winston S. Churchill,,
14053,Simon Winchester,"London, England, The United Kingdom",1944
14079,Jay McInerney,"Hartford, Connecticut, The United States",
14084,Jonathan Kozol,"Boston, MA, The United States",1936
14160,Marilyn French,"Brooklyn, The United States",1929
14164,Shūsaku Endō,"Tokyo, Japan",1923
14220,George MacDonald Fraser,"Carlisle, The United Kingdom",1925
14255,Danielle Steel,"New York, New York, The United States",1947
14403,Ambrose Bierce,"Meigs County, Ohio, The United States",1842
14444,Isaac Bashevis Singer,"Leoncin, Poland",1902
14473,James M. Cain,"Annapolis, Maryland, The United States",1892
14521,Mircea Eliade,"Bucharest, Romania",1907
14617,Margaret Peterson Haddix,"Washington Court House, The United States",1964
14670,Kuki Gallmann,"Treviso, Italy",1943
14870,Alasdair Gray,"Glasgow, Scotland",1934
14965,Garth Ennis,"Holywood, Ireland",1970
15085,Frank Miller,"Olney, Maryland, The United States",1957
15128,Russell Banks,"Newton, Massachusetts, The United States",1940
15151,Zora Neale Hurston,"Notasulga, Alabama, The United States",1891
15248,Flann O'Brien,"Strabane, Ireland",1911
15328,John Hersey,"Tientsin, China",1914
15332,Rachel Carson,"Springdale, Pennsylvania, The United States",1907
15351,William Martin,The United States,
15386,Hermann Broch,"Vienna, Austria",1886
15402,Adam Hochschild,"New York City, The United States",1942
15435,William Carlos Williams,"Rutherford, New Jersey, The United States",1883
15445,Carl Bernstein,"Washington, District of Colombia, The United States",1944
15516,Erich Segal,"Brooklyn, New York, The United States",1937
15543,Alan Hollinghurst,"Stroud, The United Kingdom",1954
15590,Mary  Stewart,"Sunderland, The United Kingdom",1916
15591,Emma Goldman,"Kaunas, Lithuania",1869
15619,Michael Ende,,
15819,Guy Debord,"Paris, France",1931
15865,William James,"New York , The United States",1842
15873,Cornelia Funke,,
15877,Randy Shilts,"Davenport, Iowa, The United States",1951
15907,Tom Perrotta,"Newark, New Jersey, The United States",1961
15923,Georges Perec,"Paris, France",1936
15957,Raymond Queneau,"Le Havre, France",1903
15959,Boris Vian,,
15991,William Gaddis,"New York, New York, The United States",1922
16024,Greg Bear,"San Diego, California, The United States",1951
16059,Michelle Tea,"Chelsea, Boston, Massachusetts, The United States",1971
16073,Robert Walser,,
16086,Robert Coover,"Charles City, Iowa, The United States",1932
16094,Lois McMaster Bujold,"Columbus, Ohio, The United States",
16184,Will Durant,"North Adams, Massachusetts, The United States",1885
16204,Edward Rutherfurd,"Salisbury, England, The United Kingdom",
16218,Christopher Moore,"Toledo, Ohio, The United States",
16266,Kent Haruf,"Pueblo, Colorado, The United States",1943
16494,Sebastian Junger,"Boston, Massachusetts, The United States",
16541,Tony Horwitz,"Washington, DC, The United States",
16628,Walter Farley,"Syracuse, New York, The United States",1915
16652,John Howard Griffin,"Dallas, Texas, The United States",1920
16667,Isaac Asimov,"Petrovichi, Russian Federation",1920
16747,Robert Musil,"Klagenfurt, Austria",1880
16839,James Thurber,"Columbus, Ohio, The United States",1894
16865,Timothy Findley,"Toronto, Ontario, Canada",1930
16892,Michael Shaara,"Jersey City, New Jersey, The United States",1928
16893,MacKinlay Kantor,"Webster City, Iowa, The United States",1904
16904,Richard Bach,"Oak Park, IL, The United States",
16927,Dashiell Hammett,,
16939,Michael Moorcock,"London, The United Kingdom",1939
16943,Norman Maclean,"Clarinda, Iowa, The United States",1902
17055,Jim Harrison,"Grayling, Michigan, The United States",1937
17065,J.D. Robb,"Silver Spring, Maryland, The United States",
17219,Arthur Koestler,"Budapest, Hungary",1905
17220,Nelson Algren,"Michigan, The United States",1909
17245,Abbie Hoffman,"Worcester, Massachusetts, The United States",1936
17248,Whittaker Chambers,"Philadelphia, Pennsylvania, The United States",1901
17290,Maxine Hong Kingston,"Stockton, California, The United States",1940
17326,Erskine Caldwell,"Coweta County, Georgia, The United States",1903
17434,Alex Haley,"Ithaca, New York, The United States",1921
17435,Malcolm X,"Omaha, Nebraska, The United States",1925
17439,Malcolm Lowry,"Wallasey, Merseyside, England, The United Kingdom",1909
17592,Nicolas Tredell,,
17623,D.H. Lawrence,"Eastwood, Nottinghamshire, England",1885
17719,Tracey West,The United States,
17854,Bertrand Russell,"Trellech, Monmouthshire, Wales, The United Kingdom",1872
18062,James Herriot,"Sunderland, The United Kingdom",1916
18067,Georgette Heyer,"London, The United Kingdom",1902
18206,Thor Heyerdahl,Norway,1914
18317,Knut Hamsun,"Lom, Gudbrandsdal, Norway",1859
18479,Margaret Wise Brown,"Pomfret, Connecticut, The United States",1910
18486,Audre Lorde,"New York City, The United States",1934
18540,T.S. Eliot,"St. Louis, Missouri, The United States",1888
18575,Malika Oufkir,Morocco,1953
18719,Peter Hedges,"West Des Moines, Iowa, The United States",1962
18752,Gloria Naylor,"New York, The United States",1950
18930,Anya Seton,"New York, New York, The United States",1904
19038,Kay Redfield Jamison,The United States,
19051,Elizabeth Lowell,,
19053,Carolyn Meyer,"Lewistown, Pennsylvania, The United States",
19109,Stephen Jay Gould," New York City, New York, The United States",1941
19316,Peter Mayle,"Brighton, England, The United Kingdom",1939
19405,Thomas Mann,"Lübeck, Germany",1875
19439,Stephen Briggs,The United Kingdom,1951
19563,Daniel Yergin,,
19595,Vasily Grossman,"Berdychiv, former Russian Empire, Ukraine",1905
19651,Ken Grimwood,"Dothan, Alabama, The United States",1944
19696,Greg Iles,"Stuttgart, Germany",
19706,Jack Higgins,"Newcastle upon Tyne, England, The United Kingdom",1929
19708,Leon Uris,"Baltimore, Maryland, The United States",1924
19879,Stephen Crane,"Newark, New Jersey, The United States",1871
19916,Jonathan Coe,"Birmingham, The United Kingdom",
19929,Tim Winton,"Perth, Australia",1960
19968,John Lennon,"Liverpool, England, The United Kingdom",1940
19982,Frederick Buechner,"New York City, The United States",
20062,Johnny Cash,"Kingsland, Arkansas, The United States",1932
20105,Joseph Campbell,"White Plains, NY, The United States",1904
20369,Joseph Murphy,Ireland,1898
20404,Henry Adams,"Boston, Massachusetts, The United States",1838
20560,Sheri S. Tepper,"Littleton, Colorado",1929
20730,Don Freeman,"San Diego, California, The United States",1908
20842,Georges Bataille,,
20849,Rosamunde Pilcher,"Lelant, Cornwall, England, The United Kingdom",1924
21135,Anne Morrow Lindbergh,"Englewood, New Jersey, The United States",1906
21158,Nancy Kress,"Buffalo, New York, The United States",
21216,Kate Braverman,The United States,1950
21475,Pat Frank,"Chicago, Illinois, The United States",1908
21477,Nevil Shute,"London, England, The United Kingdom",1899
21508,John Cowper Powys,"Shirley, Derbyshire, The United Kingdom",1872
21778,Juan Rulfo,"Sayula, Jalisco, Mexico",1917
21798,Betty Friedan,"Peoria, Illinois, The United States",1921
21903,Anton Myrer,"Worchester, Massachusetts, The United States",1922
21978,Elinor M. Brent-Dyer,"South Shields, Northumberland, The United Kingdom",1894
22018,Mervyn Peake,"Kuling, Jiangxi, China",1911
22099,John     Nichols,"Berkeley, California, The United States",1940
22393,Naomi Wolf,"San Francisco, The United States",
22485,Jacqueline Susann,"Philadelphia, Pennsylvania, The United States",1918
22515,Mario Vargas Llosa,"Arequipa, Peru",1936
22542,Megan Whalen Turner,,
22595,Peter Carey,"Bacchus Marsh, Victoria, Australia",1943
22694,Flannery O'Connor,"Savannah, Georgia, The United States",1925
22698,Richard Llewellyn,"Hendon, The United Kingdom",1906
22996,Frederik Pohl,"New York City, The United States",1919
23012,Clifford D. Simak,"Millville, Wisconsin, The United States",1904
23013,Edmund Morris,"Nairobi, Kenya",1940
23069,Gene Wolfe,"New York, New York, The United States",1931
23129,Robertson Davies,"Thamesville, Ontario, Canada",1913
23284,Julian May,"Chicago, Illinois, The United States",1931
23394,Frederick Exley,"Watertown, NY, The United States",1929
23419,Christopher Priest,"Cheadle, England, The United Kingdom",1943
23509,Jean Craighead George,"Washington, District of Columbia, The United States",1919
23510,Upton Sinclair,"Baltimore, Maryland, The United States",1878
23511,Rita Mae Brown,"Hanover, Pennsylvania, The United States",1944
23890,Laura Kinsale,The United States,
23993,Jean Cocteau,,
24425,Donald Barthelme,"Philadelphia, Pennsylvania, The United States",1931
24655,Sharon Kay Penman,"New York, The United States",
24824,Jon Stone,"New Haven, Connecticut, The United States",1931
24846,Shelby Foote,"Greenville, Mississippi, The United States",1916
24956,Dorothy Parker,"Long Branch, New Jersey, The United States",1893
25022,Jean Rhys,"Roseau, Dominica",1890
25092,Victoria Holt,"Kensington, London, The United Kingdom",1906
25096,Jean Toomer,"Washington, D.C., The United States",1894
25307,Robin Hobb,"California, The United States",
25334,Sarah Waters,"Neyland, Pembrokeshire, Wales, The United Kingdom",1966
25423,John Piper,"Chattanooga, Tennessee, The United States",
25573,Stefan Zweig,"Vienna, Austria",1881
25708,Gao Xingjian,"Taizhou, Jiangsu, China",1940
25824,Julio Cortázar,"Brussels, Belgium",1914
25847,Lester Bangs,"Escondido, California, The United States",1948
25864,John Fante,"Denver, Colorado, The United States",1909
25883,Robert J. Sawyer,"Ottawa, Canada",
26090,William  Kennedy,"Albany, New York, The United States",1928
26335,Hubert Selby Jr.,"Brooklyn, New York, The United States",1928
26338,Henry Roth,,
26372,Kathy Reichs,"Chicago, The United States",
26457,Rosemary Sutcliff,"West Clandon, Surrey, The United Kingdom",1920
26496,Imre Kertész,"Budapest, Hungary",1929
26814,Anne Sexton,"Newton, Massachusetts, The United States",1928
26853,Bertolt Brecht,"Augsburg, Bavaria, Germany",1898
26897,Anne Bishop,The United States,
26946,Mildred D. Taylor,"Jackson, Mississippi, The United States",1943
26957,Gerald Durrell,"Jamshedpur, India",1925
26970,Alistair MacLean,"Glasgow, Scotland, The United Kingdom",1922
26975,Gary Zukav,,
26978,Henri Barbusse,,
27034,Charles Portis,"El Dorado, AR, The United States",1933
27069,Richard Yates,"Yonkers, New York, The United States",1926
27318,Jon Scieszka,"Flint, Michigan, The United States",1954
27397,Benjamin Hoff,"Sylvan, Oregon, The United States",
27405,Brennan Manning,"Brooklyn, New York, The United States",1934
27500,Angela Carter,"Eastbourne, The United Kingdom",1940
27526,Eugenia Price,"Charleston, West Virginia, The United States",1916
27573,Leo F. Buscaglia,The United States,1924
27779,Caleb Carr,"Manhattan, The United States",
27847,Lisa Kleypas,"Texas, The United States",
27855,William H. Gass,"Fargo, North Dakota, The United States",1924
27861,Ian Falconer,"Connecticut, The United States",1959
27903,Marie-Louise von Franz,"Munich, Germany",1915
28229,Banana Yoshimoto,"Tokyo, Japan",1964
28345,Vikram Seth,,
28380,David Niven,"London, The United Kingdom",1910
28544,Sharon Shinn,The United States,1957
28574,Jude Deveraux,"Fairdale, Kentucky, The United States",1947
28576,Fynn,"London , The United Kingdom",1919
28709,Chuck Dixon,"Philadelphia, PA, The United States",
28719,Gail Tsukiyama,"San Francisco, The United States",
28756,John Marsden,Australia,1950
28785,Peter Shaffer,"Liverpool, England, The United Kingdom",1926
28828,Vincent Bugliosi,"Hibbing, Minnesota, The United States",1934
28937,Toni Cade Bambara,"New York City, The United States",1939
29005,Mitsu Yamamoto,,
29064,Dennis Cooper,"Arcadia, California, The United States",1953
29068,Dalton Trumbo,"Montrose, CO, The United States",1905
29174,John Rogers Searle,"Denver, CO",1932
29182,Patricia MacLachlan,"Cheyenne, Wyoming, The United States",1938
29184,Nancy E. Turner,"Dallas, Texas , The United States",
29333,Dietrich Bonhoeffer,"Breslau, Germany",1906
29357,Martin Buber,"Vienna, Austria",1878
29527,Charlotte Perkins Gilman,"Hartford, Connecticut, The United States",1860
29535,Octavia E. Butler,"Pasadena, California, The United States",1947
29544,James Alexander Thom,"Gosport, Indiana, The United States",1933
29574,Seamus Heaney,"Castledawson, Ireland",1939
29581,Leslie Marmon Silko,The United States,1948
29611,James Agee,"Knoxville, Tennessee, The United States",1909
29678,Dodie Bellamy,,
29691,Paul Monette,"Lawrence, Massachusetts, The United States",1945
29901,Michel Tournier,"Paris, France",1924
29919,John Berger,"Highams Park, London, England, The United Kingdom",1926
29952,Jean Genet,"Paris, France",1910
29963,W.B. Yeats,"Sandymount, County Dublin, Ireland",1865
29974,David  Lindsay,"London, England",1876
29998,Thomas M. Disch,"Des Moines, Iowa, The United States",1940
30013,Djuna Barnes,,
30055,Ezra Pound,"Hailey, Idaho, The United States",1885
30074,Tim Pat Coogan,"Monkstown, County Dublin, Ireland",
30095,Jean Webster,"Fredonia, New York, The United States",1876
30654,Eloise Jarvis McGraw,,1915
30681,Joseph Roth,,
30691,Adolf Hitler,"Braunau am Inn, Austria",1889
30716,Alan Bullock,"Trowbridge, Wiltshire, The United Kingdom",1914
30775,Anthony Hope,"Clapton, London, The United Kingdom",1863
30898,Quino,"Guaymallén, Mendoza, Argentina",1932
30913,Laura Hillenbrand,"Fairfax, Virginia, The United States",1967
30953,Donald E. Westlake,"Brooklyn, New York, The United States",1933
31146,Reinhold Niebuhr,"Wright City, Missouri, The United States",1892
31232,Steven Erikson,"Toronto, Canada",
31234,Len Deighton,"London, The United Kingdom",1929
31274,Alain Robbe-Grillet,,
31280,Eugene B. Sledge,"Mobile, Alabama, The United States",1923
31367,Samuel Eliot Morison,"Boston, Massachusetts, The United States",1887
31425,Ben Okri,"Minna, Nigeria",1959
31457,James Dickey,"Atlanta, Georgia, The United States",1923
31707,Ernest Thompson Seton,"South Shields, County Durham , The United Kingdom",1860
31726,Marc Reisner,"Minneapolis, The United States",1948
31845,Marge Piercy,"Detroit, Michigan, The United States",1936
32005,Harold Robbins,"New York, The United States",1916
32498,Iris Johansen,"St. Louis, Missouri",
32507,Akira Kurosawa,"Setagaya, Tokyo, Japan",1910
32530,B. Traven,Germany,
32549,W.P. Kinsella,"Edmonton, Alberta, Canada",1935
32587,Bryan Burrough,,1961
32590,Anthony Horowitz,"Stanmore, Middlesex, The United Kingdom",
32594,Jeph Loeb,"Stamford, Connecticut, The United States",1958
32595,Koushun Takami,"Amagasaki, Hyōgo Prefecture, Osaka, Japan",1969
32807,Romain Gary,"Vilnius , Lithuania",1914
32878,Michel Houellebecq,,
33017,Tom Sharpe,"London, The United Kingdom",1928
33384,Taylor Caldwell,"Manchester, The United Kingdom",1900
33404,Fernando Vallejo,"Medellin, Colombia",1942
33472,Mika Waltari,"Helsinki, Finland",1908
33503,L. Ron Hubbard,"Tilden, Nebraska, The United States",1911
33918,China Miéville,"Norwich, England, The United Kingdom",
33987,LaVyrle Spencer,"Browerville, Minnesota, The United States",1943
33998,Edna St. Vincent Millay,"Rockland, Maine, The United States",1892
34336,Anne Carson,"Toronto, Ontario, Canada",1950
34660,Richard Atwater,"Chicago IL, The United States",1892
34878,Walter Moers,,
35007,William Horwood,"Oxford, The United Kingdom",1944
35201,Mark Achbar,,
35245,Carmen Laforet,"Barcelona, Spain",1921
35258,Yukio Mishima,"Tokyo, Japan",1925
35332,Larry Collins,"Hartford, Connecticut, The United States",1929
35822,Tony Kushner,"New York, New York, The United States",1956
36122,Patricia C. Wrede,"Chicago, The United States",1953
36289,Charles  Williams,"London, The United Kingdom",1886
36332,John Wyndham,"Knowle, Warwickshire, The United Kingdom",1903
36378,Amin Maalouf,"Beirut, Lebanon",1949
36686,Luther Blissett,,
36714,Frederick Forsyth,"Ashford, Kent, England, The United Kingdom",1938
36746,Lemony Snicket,"San Francisco, The United States",
36808,Carlo Levi,"Turin, Italy",1902
36812,Claire Huchet Bishop,,
36910,Langston Hughes,"Joplin, Missouri, The United States",1902
36913,Rabindranath Tagore,"Calcutta, India",1861
37086,Karin Boye,"Gothenburg, Sweden",1900
37218,Edward Abbey,"Indiana, Pennsylvania, The United States",1927
37708,Andrew S. Grove,Hungary,1936
37728,Frantz Fanon,Martinique,1924
37766,Gary Jennings,"Buena Vista, Virginia, The United States",1928
37848,Alberto Moravia,"Via Sgambati, Rome, Italy",1907
37871,José Donoso,"Santiago, Chile",1924
38185,Mary Renault,"London, England, The United Kingdom",1905
38266,Selma Lagerlöf,"Mårbacka, Värmland, Sweden",1858
38285,Carl Jung,"Kesswil, Thurgau, Switzerland",1875
38329,Heinrich Harrer,,
38343,Sean Covey,"Belfast, Ireland, The United Kingdom",1964
38697,Nick Cave,"Warracknabeal, Victoria, Australia",1957
38706,Italo Svevo,,
38951,John Connolly,"Dublin, Ireland",
38968,P.C. Hodgell,"Des Moines, Iowa, The United States",1951
39087,Miguel Ángel Asturias,"Guatemala City, Guatemala",1899
39237,Jamaica Kincaid,"St. Johns, Antigua and Barbuda",1949
39263,Manuel Mujica Láinez,"Buenos Aires, Argentina",1910
39279,Juan Carlos Onetti,"Montevideo, Uruguay",1909
39326,Heinrich Böll,"Cologne, Germany",1917
39349,Ariel Dorfman,"Buenos Aires, Argentina",1942
39402,Patrick Süskind,"Ambach, Bavaria, Germany",1949
39621,Sandra Gulland,"Miami, The United States",
40098,Luke Rhinehart,"Albany, New York, The United States",1932
40311,Piers Paul Read,"Beaconsfield, Buckinghamshire, The United Kingdom",1941
40351,Henry Lincoln,"London, The United Kingdom",
40398,Arturo Pérez-Reverte,"Cartagena, Murcia, Spain",1951
40416,Amélie Nothomb,"Etterbeek, Belgium",1966
40552,Jan Karon,"Lenoir, North Carolina, The United States",1937
40737,Daniel Pennac,"Casablanca, Morocco",1944
41013,Farley Mowat,"Belleville, Canada",1921
41108,Paulo Freire,"Recife, Brazil",1921
41121,Alan Sillitoe,"Nottingham, The United Kingdom",1928
41193,Sara Donati,"Chicago, The United States",
41313,Susan Elizabeth Phillips,,
41469,Oswald Chambers,"Aberdeen, Scotland, The United Kingdom",1874
41495,Romain Rolland,"Clamecy, Nièvre, France",1866
41534,Alfred Jarry,"Laval, France",1873
41542,Helen Dunmore,"Yorkshire, The United Kingdom",1952
41588,Elizabeth Bishop,"Worcester, Massachusetts, The United States",1911
41616,Friedrich Dürrenmatt,"Konolfingen, Switzerland",1921
41938,Robert  Stone,"Brooklyn, The United States",1937
41963,Neil Postman,"New York, New York, The United States",1931
41992,Jerome Lawrence,"Cleveland, OH, The United States",1915
42017,Barbara Shook Hazen,,
42041,Max Weber,"Erfurt, Germany",1864
42288,Clyde Edgerton,"Durham, North Carolina, The United States",1944
42353,Carol O'Connell," New York City, The United States",1947
42354,Margaret Laurence,"Neepawa, Canada",1926
42464,Samad Behrangi,"Tabriz, Iran",1939
42697,Irma S. Rombauer,"St. Louis, Missouri, The United States",1877
42920,Wallace Stevens,"Reading, Pennsylvania, The United States",1879
42927,Mercè Rodoreda,"Barcelona, Spain",1908
43127,Allan Bloom,"Indianapolis, Indiana, The United States",1930
43274,Adrian Conan Doyle,The United Kingdom,1910
43298,Yevgeny Zamyatin,"Lebedian, Russian Federation",1884
43443,Dee Brown,"Alberta, LA, The United States",1908
43602,Harriette Simpson Arnow,"Bronston, KY, The United States",1908
43665,Bruce Chatwin,"Sheffield, The United Kingdom",1940
43828,Aldo Leopold,"Burlington, Iowa, The United States",1887
44003,Katharine Kerr,"Cleveland, Ohio, The United States",
44023,Josephine Tey,"Inverness, Scotland, The United Kingdom",1896
44037,Vernor Vinge,"Waukesha, Wisconsin, The United States",1944
44061,Thornton Wilder,"Madison, Wisconsin, The United States",1897
44150,Federico García Lorca,"Fuente Vaqueros, Granada, Spain",1898
44202,Mikhail Sholokhov,"Veshenskaya, Russian Federation",1905
44545,Oakley Hall,"San Diego, The United States",1920
44694,Harry Mulisch,"Haarlem, Netherlands",1927
45191,Karleen Koen,"New York City, The United States",
45230,Tove Jansson,"Helsinki, Finland",1914
45531,Charles Baxter,"Minneapolis, The United States",1947
45645,Sherwood Anderson,"Camden, Ohio, The United States",1876
45706,Alfred Döblin,"Szczecin, Poland",1878
45712,Katherine Mansfield,"Wellington, New Zealand",1888
45752,Isaiah Berlin,"Riga, Latvia",1909
46158,Marjorie Kinnan Rawlings,"Washington, DC, The United States",1896
46204,Arlene Mosel,"Cleveland, Ohio, The United States",1921
46228,Jim Goad,"Philadelphia, Pennsylvania, The United States",1961
46810,Murray N. Rothbard,"Bronx, New York, The United States",1926
46882,Sanaya Roman,The United States,
47104,Melina Marchetta,"Sydney, Australia",
47118,Nicholas Monsarrat,"Liverpool, England, The United Kingdom",1910
47391,Patrick McCabe,"Clones, County Monaghan, Ireland",1955
47406,W. Michael Gear,"Colorado Springs, Colorado, The United States",1955
47421,Dino Buzzati,"San Pellegrino, Italy",1906
47499,Paullina Simons,"Leningrad, Russian Federation",
47640,Nancy Garden,"Boston, The United States",1938
47687,Barbara Vine,The United Kingdom,1930
48206,Karen Marie Moning,"Cincinnati, Ohio, The United States",
48298,Lin Yutang,"Banzi, China",1895
48305,Cornelius Ryan,"Dublin, Ireland",1920
49111,Samuel R. Delany,"New York City, The United States",1942
49326,Guillermo Cabrera Infante,"Gibara, Cuba",1929
49756,Luis Buñuel,"Calanda, Spain",1900
49757,Joseph Kessel,"Villa Clara, Argentina",1898
49930,Herbert Marcuse,"Berlin, Germany",1898
49941,Alan Furst,"New York City, The United States",1941
50071,Bohumil Hrabal,"Brno, Czech Republic",1914
50416,Fay Weldon,"Alvechurch, England, The United Kingdom",1931
50524,Misha Glenny,,
50782,Antonia White,"London, England, The United Kingdom",1899
50783,Patrick White,"Knightsbridge, London, England, The United Kingdom",1912
50786,Elizabeth Goudge,"Wells, The United Kingdom",1900
50873,L.J. Smith,"Fort Lauderdale, Florida, The United States",1904
50948,Mickey Spillane,"Brooklyn, New York City, The United States",1918
51204,Alastair Reynolds,"Barry, Wales, The United Kingdom",1966
51229,John  Williams,"Clarksville, Texas, The United States",1922
51289,James Lincoln Collier,"New York City, New York, The United States",1928
51424,James Howe,"Oneida, New York, The United States",1946
51484,Paul Zindel,"New York, The United States",1936
51503,Fredric Brown,"Cincinnati, Ohio, The United States",1906
51563,Ahdaf Soueif,"Cairo , Egypt",1950
51575,Colette,,
51589,Chitra Banerjee Divakaruni,,
51606,L.P. Hartley,"Whittlesey, Cambridgeshire, The United Kingdom",1895
51724,Constantinos P. Cavafis,"Alexandria, Egypt",1863
51808,Vicente Huidobro,"Santiago, Chile",1893
52070,John Neufeld,"Chicago, The United States",1938
52074,John Crowley,"Presque Isle, Maine, The United States",1942
52285,Frank Stanford,"Richton, The United States",1948
52601,N.H. Kleinbaum,The United States,1948
52627,Olive Ann Burns,"Banks County, Georgia, The United States",1924
52683,Jorge Amado,,
52776,Christie Dickason,,
